Nationality,Name,Club,Birth_Date,Age,National_Position,Club_Position,Preferred_Position,Rating,Height,Weight,Preferred_Foot,Weak_foot
Germany,Julian Pollersbeck,Kaiserslautern,8/16/1994,22,GK,GK,GK,68,195 cm,87 kg,Right,2
Germany,Julian Riedel,Erzgebirge Aue,8/10/1991,25,Sub,Sub,CB,65,184 cm,76 kg,Right,4
Germany,Julian Schauerte,F. Düsseldorf,4/2/1988,28,RB,RB,RB/LB,69,177 cm,72 kg,Right,4
Germany,Julian Schieber,Hertha BSC,2/13/1989,28,Sub,Sub,ST,75,186 cm,83 kg,Left,2
Germany,Julian Schuster,SC Freiburg,4/15/1985,31,Sub,Sub,CDM/CM,70,189 cm,80 kg,Right,3
Germany,Julian Weigl,Bor. Dortmund,9/8/1995,21,Sub,RCM,CDM/CM,81,186 cm,71 kg,Right,3
Germany,Julian von Haacke,N.E.C.,2/14/1994,23,RCM,RCM,CM,67,181 cm,75 kg,Left,3
Germany,Julius Biada,Braunschweig,11/3/1992,24,Sub,Sub,ST/CF,65,179 cm,76 kg,Right,3
Germany,Julius Kade,Hertha BSC,5/20/1999,17,Res,Res,CAM,56,167 cm,48 kg,Left,3
Germany,Justin Eilers,Werder Bremen,6/13/1988,28,Res,Res,RW/RM,69,186 cm,78 kg,Right,4
Germany,Justin Möbius,VfL Wolfsburg,4/21/1997,19,Res,Res,CAM/RM,59,179 cm,69 kg,Right,5
Germany,Jérôme Boateng,FC Bayern,9/3/1988,28,RCB,Sub,CB,89,192 cm,90 kg,Right,4
Germany,Jérôme Gondorf,SV Darmstadt,6/26/1988,28,RDM,RDM,CM/CDM,74,175 cm,76 kg,Right,4
Germany,Kai Bülow,1860 München,5/31/1986,30,LCM,LCM,CB/CDM,66,188 cm,81 kg,Right,3
Germany,Kai Havertz,Bayer 04,6/11/1999,17,Sub,Sub,RM/CF,67,186 cm,77 kg,Left,3
Germany,Karim Bellarabi,Bayer 04,4/8/1990,26,RM,RM,RM,83,183 cm,80 kg,Right,3
Germany,Keanu Staude,Arminia Bielefeld,1/26/1997,20,Sub,Sub,CAM/LM,60,176 cm,70 kg,Right,3
Germany,Ken Gipson,RB Leipzig,2/24/1996,21,Sub,Sub,RB,60,178 cm,69 kg,Right,3
Germany,Ken Reichel,Braunschweig,12/19/1986,30,LB,LB,LB/LWB,73,185 cm,83 kg,Left,3
Germany,Kenny Prince Redondo,Union Berlin,8/29/1994,22,Sub,Sub,LW/LM,67,181 cm,68 kg,Left,3
Germany,Kerem Demirbay,1899 Hoffenheim,7/3/1993,23,LCM,LCM,CAM/ST,77,185 cm,80 kg,Left,3
Germany,Kevin Akpoguma,F. Düsseldorf,4/19/1995,21,RCB,RCB,CB/RB,70,192 cm,82 kg,Right,4
Germany,Kevin Kraus,1. FC Heidenheim,8/12/1992,24,Sub,Sub,CB,71,190 cm,91 kg,Right,3
Germany,Kevin Lankford,1. FC Heidenheim,11/16/1998,18,Res,Res,RM,56,180 cm,75 kg,Right,3
Germany,Kevin Möhwald,1. FC Nürnberg,7/3/1993,23,LCM,LCM,CAM,72,183 cm,77 kg,Right,2
Germany,Kevin Müller,1. FC Heidenheim,3/15/1991,26,GK,GK,GK,69,190 cm,91 kg,Right,3
Germany,Kevin Trapp,PSG,7/8/1990,26,GK,GK,GK,82,189 cm,88 kg,Right,4
Germany,Kevin Vogt,1899 Hoffenheim,9/23/1991,25,CB,CB,CB/CDM,78,194 cm,85 kg,Right,3
Germany,Kevin Volland,Bayer 04,7/30/1992,24,CAM,CAM,ST/LW,80,179 cm,75 kg,Left,3
Germany,Khaled Narey,Greuther Fürth,7/23/1994,22,RWB,RWB,RB,68,180 cm,75 kg,Right,4
Germany,Kofi Yeboah Schulz,FC St. Gallen,7/21/1989,27,Sub,Sub,LW/LB,51,188 cm,82 kg,Left,3
Germany,Konstantin Rausch,1. FC Köln,3/15/1990,27,Sub,Sub,LM/LB,74,182 cm,80 kg,Left,4
Germany,Korbinian Vollmann,SV Sandhausen,10/27/1993,23,Sub,Sub,CAM/LM,67,174 cm,70 kg,Right,3
Germany,Lars Bender,Bayer 04,4/27/1989,27,RDM,RDM,CDM/CM,82,185 cm,80 kg,Right,3
Germany,Lars Stindl,Bor. M'gladbach,8/26/1988,28,RS,RS,CAM/CF,81,181 cm,80 kg,Right,4
Germany,Lars Unnerstall,F. Düsseldorf,7/20/1990,26,Sub,Sub,GK,72,198 cm,100 kg,Right,1
Germany,Lasse Sobiech,FC St. Pauli,1/18/1991,26,RCB,RCB,CB,73,196 cm,88 kg,Right,3
Germany,Leandro Putaro,Arminia Bielefeld,1/7/1997,20,Res,Res,ST,63,187 cm,77 kg,Left,3
Germany,Lennard Adjetey Sowah,Hearts,8/23/1992,24,LB,LB,LB/CB,61,187 cm,82 kg,Left,3
Germany,Lennart Thy,FC St. Pauli,2/25/1992,25,Sub,Sub,ST,70,184 cm,78 kg,Right,3
Germany,Leon Bätge,Eint. Frankfurt,7/9/1997,19,Res,Res,GK,56,188 cm,88 kg,Right,4
Germany,Leon Goretzka,FC Schalke 04,2/6/1995,22,CAM,CAM,CM/CDM,81,189 cm,79 kg,Right,4
Germany,Leon Guwara,SV Darmstadt,6/28/1996,20,Res,Res,LB,66,185 cm,83 kg,Left,3
Germany,Leonardo Bittencourt,1. FC Köln,12/19/1993,23,Sub,Sub,LM/RM,77,171 cm,63 kg,Right,4
Germany,Leroy Sané,Manchester City,1/11/1996,21,Sub,LW,LM/RM,80,184 cm,76 kg,Left,3
Germany,Levent Ayçiçek,1860 München,2/14/1994,23,Sub,Sub,LM/RW,68,169 cm,67 kg,Right,3
Germany,Levin Öztunali,1. FSV Mainz 05,3/15/1996,21,RM,RM,RM/LM,76,184 cm,80 kg,Right,4
Germany,Lewis Holtby,Hamburger SV,9/18/1990,26,CAM,CAM,CM/CAM,77,176 cm,72 kg,Left,4
Germany,Liam Fisch,SV Darmstadt,11/23/1998,18,Res,Res,LM,57,179 cm,72 kg,Right,4
Germany,Loris Karius,Liverpool,6/22/1993,23,Sub,Sub,GK,82,190 cm,87 kg,Right,3
Germany,Louis Samson,Erzgebirge Aue,7/3/1995,21,LDM,LDM,CDM,65,190 cm,81 kg,Right,3
Germany,Luca-Milan Zander,Werder Bremen,8/9/1995,21,Res,Res,RB,61,183 cm,73 kg,Right,3
Germany,Lucas Cueto,FC St. Gallen,3/24/1996,21,Sub,Sub,LM/RM,59,171 cm,64 kg,Left,3
Germany,Lucas Höler,SV Sandhausen,7/10/1994,22,LS,LS,ST,66,184 cm,80 kg,Right,3
Germany,Lukas Fröde,Würzburger Kickers,1/23/1995,22,LDM,LDM,CDM/CM,62,192 cm,85 kg,Right,2
Germany,Lukas Gerlspeck,FC Ingolstadt,9/27/1998,18,Res,Res,CB/RB,59,186 cm,78 kg,Right,3
Germany,Lukas Görtler,Kaiserslautern,6/15/1994,22,Sub,Sub,ST/RM,65,185 cm,82 kg,Right,3
Germany,Lukas Klostermann,RB Leipzig,6/3/1996,20,Sub,Sub,RB,72,189 cm,83 kg,Right,3
Germany,Lukas Klünter,1. FC Köln,5/26/1996,20,Res,Res,RB/CB,59,184 cm,73 kg,Right,3
Germany,Lukas Kübler,SC Freiburg,8/30/1992,24,RB,RB,RB,68,183 cm,73 kg,Right,3
Germany,Lukas Lämmel,Union Berlin,9/8/1997,19,Res,Res,CM,54,179 cm,70 kg,Right,4
Germany,Lukas Mühl,1. FC Nürnberg,1/27/1997,20,Sub,Sub,CB/CDM,63,189 cm,83 kg,Right,3
Germany,Lukas Podolski,Galatasaray,6/4/1985,31,ST,ST,ST/CAM,81,182 cm,83 kg,Left,2
Germany,Lukas Raeder,V. Setúbal,12/30/1993,23,Sub,Sub,GK,67,194 cm,89 kg,Right,3
Germany,Lukas Rupp,1899 Hoffenheim,1/8/1991,26,Sub,Sub,RM/CM,76,178 cm,73 kg,Right,3
Germany,Lukas Schmitz,F. Düsseldorf,10/13/1988,28,LB,LB,LB/CDM,70,183 cm,78 kg,Left,1
Germany,Mahmoud Dahoud,Bor. M'gladbach,1/1/1996,21,LDM,LDM,CM/CDM,79,177 cm,69 kg,Right,4
Germany,Malcolm Cacutalua,Arminia Bielefeld,11/15/1994,22,Sub,Sub,CB,68,188 cm,83 kg,Right,3
Germany,Manuel Gulde,SC Freiburg,2/12/1991,26,RCB,RCB,CB,71,184 cm,78 kg,Right,3
Germany,Manuel Hornig,Arminia Bielefeld,12/18/1982,34,Sub,Sub,CB,66,190 cm,85 kg,Right,5
Germany,Manuel Junglas,Arminia Bielefeld,1/31/1989,28,RDM,RDM,CM/CDM,67,187 cm,75 kg,Right,3
Germany,Manuel Konrad,Dynamo Dresden,4/14/1988,28,Sub,Sub,CDM/CB,67,187 cm,88 kg,Right,4
Germany,Manuel Neuer,FC Bayern,3/27/1986,31,GK,GK,GK,92,193 cm,92 kg,Right,4
Germany,Manuel Riemann,VfL Bochum,9/9/1988,28,GK,GK,GK,72,186 cm,83 kg,Right,4
Germany,Manuel Schmiedebach,Hannover 96,12/5/1988,28,RDM,RDM,CDM,76,171 cm,70 kg,Right,4
Germany,Manuel Stiefler,SV Sandhausen,7/25/1988,28,Res,Res,RM/CAM,65,178 cm,74 kg,Right,4
Germany,Marc Hornschuh,FC St. Pauli,3/2/1991,26,LCB,LCB,RB/CB,67,188 cm,82 kg,Right,3
Germany,Marc Rzatkowski,RB Salzburg,3/2/1990,27,Sub,Sub,CM/CAM,72,172 cm,65 kg,Left,3
Germany,Marc Schnatterer,1. FC Heidenheim,11/18/1985,31,LM,LM,LM,74,180 cm,75 kg,Right,4
Germany,Marc Stendera,Eint. Frankfurt,12/10/1995,21,Sub,Sub,CAM/CDM,76,173 cm,73 kg,Right,4
Germany,Marc Wachs,Dynamo Dresden,7/10/1995,21,Sub,Sub,LB,63,180 cm,73 kg,Left,3
Germany,Marc-André ter Stegen,FC Barcelona,4/30/1992,24,Sub,GK,GK,83,187 cm,85 kg,Right,4
Germany,Marc-Oliver Kempf,SC Freiburg,1/28/1995,22,Sub,Sub,CB,73,186 cm,87 kg,Left,3
Germany,Marcel Engelhardt,Braunschweig,4/5/1993,23,Sub,Sub,GK,56,191 cm,87 kg,Right,2
Germany,Marcel Franke,Greuther Fürth,4/5/1993,23,CB,CB,CB,70,193 cm,90 kg,Right,2
Germany,Marcel Gaus,Kaiserslautern,8/2/1989,27,LM,LM,LB/CM,64,183 cm,80 kg,Left,3
Germany,Marcel Halstenberg,RB Leipzig,9/27/1991,25,LB,LB,LB,74,187 cm,82 kg,Left,3
Germany,Marcel Hartel,1. FC Köln,1/19/1996,21,Sub,Sub,CAM,62,176 cm,69 kg,Right,4
Germany,Marcel Heller,SV Darmstadt,2/12/1986,31,LM,LM,LM/RM,74,175 cm,70 kg,Right,2
Germany,Marcel Hilßner,Dynamo Dresden,1/30/1995,22,Sub,Sub,LW/CF,61,183 cm,80 kg,Left,2
Germany,Marcel Risse,1. FC Köln,12/17/1989,27,Sub,Sub,RM/RB,77,183 cm,75 kg,Right,3
Germany,Marcel Schmelzer,Bor. Dortmund,1/22/1988,29,Sub,Sub,LB,80,181 cm,74 kg,Left,2
Germany,Marcel Sobottka,F. Düsseldorf,4/25/1994,22,LCM,LCM,CDM/CM,68,185 cm,75 kg,Right,3
Germany,Marcel Titsch-Rivero,1. FC Heidenheim,11/2/1989,27,LDM,LDM,CM/CDM,68,182 cm,76 kg,Left,3
Germany,Marco Caligiuri,Greuther Fürth,4/14/1984,32,RCB,RCB,CB/RB,71,180 cm,75 kg,Right,3
Germany,Marco Hartmann,Dynamo Dresden,2/25/1988,29,CDM,CDM,CDM,69,189 cm,92 kg,Right,3
Germany,Marco Höger,1. FC Köln,9/16/1989,27,RDM,RDM,CM/CDM,79,182 cm,83 kg,Right,4
Germany,Marco Königs,Würzburger Kickers,1/25/1990,27,Sub,Sub,ST,65,189 cm,89 kg,Right,3
Germany,Marco Reus,Bor. Dortmund,5/31/1989,27,LW,LW,LM/CAM,88,182 cm,76 kg,Right,4
Germany,Marco Russ,Eint. Frankfurt,8/4/1985,31,CB,CB,CB/CDM,75,190 cm,88 kg,Right,2
Germany,Marco Schuster,FC Augsburg,10/10/1995,21,Res,Res,CDM/CM,58,179 cm,73 kg,Right,3
Germany,Marco Stiepermann,VfL Bochum,2/9/1991,26,LDM,LDM,CM/RM,69,190 cm,86 kg,Left,2
Germany,Marco Terrazzino,1899 Hoffenheim,4/15/1991,25,Sub,Sub,LM/CAM,71,176 cm,74 kg,Right,3
Germany,Marco Thiede,SV Sandhausen,5/20/1992,24,Sub,Sub,LM/RB,66,178 cm,69 kg,Right,3
Germany,Marcos Alvarez,Dynamo Dresden,9/30/1991,25,Sub,Sub,CF/RW,63,179 cm,77 kg,Right,3
Germany,Marian Sarr,VfL Wolfsburg,1/30/1995,22,Res,Res,CB,63,188 cm,83 kg,Left,3
Germany,Mario Engels,Śląsk Wrocław,10/22/1993,23,Sub,Sub,RM/LM,66,183 cm,74 kg,Right,3
Germany,Mario Gómez,VfL Wolfsburg,7/10/1985,31,ST,ST,ST,82,189 cm,88 kg,Right,4
Germany,Mario Götze,Bor. Dortmund,6/3/1992,24,Sub,Sub,CM/CAM,82,176 cm,75 kg,Right,4
Germany,Mario Seidel,Erzgebirge Aue,1/19/1995,22,Res,Res,GK,53,185 cm,82 kg,Right,3
Germany,Marius Funk,Greuther Fürth,1/1/1996,21,Sub,Sub,GK,60,187 cm,88 kg,Right,3
Germany,Marius Müller,RB Leipzig,7/12/1993,23,Sub,Sub,GK,68,192 cm,84 kg,Right,3
Germany,Marius Wolf,Eint. Frankfurt,5/27/1995,21,Res,Res,LM/RM,66,187 cm,73 kg,Left,4
Germany,Mark Uth,1899 Hoffenheim,8/24/1991,25,Sub,Sub,ST/RM,77,185 cm,70 kg,Left,2
Germany,Marko Marin,Olympiakos CFP,3/13/1989,28,Sub,Sub,CAM/LW,76,170 cm,64 kg,Right,4
Germany,Markus Feulner,FC Augsburg,2/12/1982,35,Sub,Sub,RB/RM/CDM,70,183 cm,82 kg,Right,4
Germany,Markus Karl,SV Sandhausen,2/14/1986,31,Sub,Sub,CDM,68,192 cm,88 kg,Right,3
Germany,Markus Neumayr,FC Luzern,3/26/1986,31,LCM,LCM,CM/ST,68,171 cm,77 kg,Right,4
Germany,Markus Schubert,Dynamo Dresden,6/12/1998,18,Res,Res,GK,58,186 cm,82 kg,Right,3
Germany,Markus Schwabl,Fleetwood Town,8/26/1990,26,CM,CM,RB/CB,64,182 cm,71 kg,Right,2
Germany,Markus Steinhöfer,SV Darmstadt,3/7/1986,31,Sub,Sub,RB/RM,70,175 cm,69 kg,Right,3
Germany,Marlon Frey,Kaiserslautern,3/24/1996,21,Sub,Sub,CDM/CM,65,180 cm,78 kg,Right,3
Germany,Marlon Ritter,F. Düsseldorf,10/15/1994,22,Sub,Sub,CF/LM,61,173 cm,72 kg,Right,4
Germany,Marnon Busch,1860 München,12/8/1994,22,Res,Res,RB/RM,64,182 cm,80 kg,Right,3
Germany,Mart Ristl,VfB Stuttgart,7/7/1996,20,Sub,Sub,CDM/RM,61,180 cm,74 kg,Right,4
Germany,Martin Männel,Erzgebirge Aue,3/16/1988,29,GK,GK,GK,70,184 cm,81 kg,Right,3
Germany,Martin Stoll,Karlsruher SC,2/9/1983,34,Res,Res,CB,67,188 cm,80 kg,Right,4
Germany,Marvin Bakalorz,Hannover 96,9/13/1989,27,LDM,LDM,CDM/CM,73,180 cm,78 kg,Right,4
Germany,Marvin Compper,RB Leipzig,6/14/1985,31,LCB,LCB,CB,75,185 cm,80 kg,Left,3
Germany,Marvin Friedrich,FC Augsburg,12/13/1995,21,Sub,Sub,CB/RB,65,193 cm,78 kg,Right,3
Germany,Marvin Mehlem,Karlsruher SC,9/11/1997,19,Res,Res,RM,59,174 cm,68 kg,Right,3
Germany,Marvin Plattenhardt,Hertha BSC,1/26/1992,25,LB,LB,LB,77,181 cm,76 kg,Left,3
Germany,Marvin Pourié,Randers FC,1/8/1991,26,RS,RS,ST,68,185 cm,86 kg,Right,4
Germany,Marvin Schulz,Bor. M'gladbach,1/15/1995,22,Sub,Sub,CB/CDM,65,186 cm,77 kg,Right,3
Germany,Marvin Schwäbe,Dynamo Dresden,4/25/1995,21,GK,GK,GK,69,190 cm,87 kg,Right,3
Germany,Marvin Stefaniak,Dynamo Dresden,2/3/1995,22,LM,LM,LW,69,178 cm,76 kg,Right,4
Germany,Marvin Wanitzek,VfB Stuttgart,5/7/1993,23,Res,Res,CAM/LM,62,179 cm,77 kg,Right,3
Germany,Mathias Wittek,1. FC Heidenheim,3/30/1989,28,LCB,LCB,CB,70,193 cm,89 kg,Right,2
Germany,Mats Hummels,FC Bayern,12/16/1988,28,LCB,LCB,CB,88,191 cm,92 kg,Right,3
Germany,Mats Köhlert,Hamburger SV,5/2/1998,18,Res,Res,LM/ST,61,168 cm,62 kg,Left,3
Germany,Matthias Bader,Karlsruher SC,6/17/1997,19,RB,RB,RB,61,176 cm,73 kg,Right,3
Germany,Matthias Ginter,Bor. Dortmund,1/19/1994,23,Sub,Sub,CB/CDM,79,190 cm,87 kg,Right,3
Germany,Matthias Hamrol,1. FC Köln,12/31/1993,23,Res,Res,GK,50,195 cm,90 kg,Left,3
Germany,Matthias Lehmann,1. FC Köln,5/28/1983,33,LDM,LDM,CDM,76,179 cm,75 kg,Right,3
Germany,Matthias Ostrzolek,Hamburger SV,6/5/1990,26,LB,LB,LB/CDM,74,178 cm,72 kg,Left,3
Germany,Matthias Strohmaier,FC Vaduz,3/11/1994,23,Sub,Sub,CB/CDM,61,188 cm,81 kg,Right,4
Germany,Matthias Zimmermann,VfB Stuttgart,6/16/1992,24,Sub,Sub,CDM/RB,68,177 cm,77 kg,Right,4
Germany,Maurice Hirsch,Hannover 96,5/30/1993,23,Res,Res,CDM,65,175 cm,69 kg,Right,3
Germany,Maurice Jerome Litka,FC St. Pauli,1/2/1996,21,Res,Res,LM/ST,58,180 cm,68 kg,Left,3
Germany,Maurice Multhaup,FC Ingolstadt,12/15/1996,20,Sub,Sub,RM/CAM,60,173 cm,74 kg,Right,3
Germany,Max Besuschkow,Eint. Frankfurt,5/1/1997,19,Sub,Sub,CM/CAM,59,187 cm,74 kg,Right,3
Germany,Max Christiansen,FC Ingolstadt,9/25/1996,20,Sub,Sub,CDM,69,188 cm,84 kg,Right,3
Germany,Max Ehmer,Gillingham,2/3/1992,25,RCB,RCB,CB,65,188 cm,70 kg,Right,3
Germany,Max Grün,VfL Wolfsburg,4/5/1987,29,Sub,Sub,GK,68,190 cm,86 kg,Right,3
Germany,Max Kruse,Werder Bremen,3/19/1988,29,LS,LS,CF/CAM,80,180 cm,76 kg,Left,4
Germany,Max Meyer,FC Schalke 04,9/18/1995,21,Sub,Sub,CAM/CM/LM,79,173 cm,68 kg,Right,4
Germany,Max Müller,Wycombe,5/16/1994,22,RCB,RCB,CB,60,190 cm,88 kg,Right,2
Germany,Max Wegner,Erzgebirge Aue,3/24/1989,28,Sub,Sub,ST,64,179 cm,80 kg,Right,4
Germany,Maxim Leitsch,VfL Bochum,5/16/1998,18,Sub,Sub,CB/LB,58,188 cm,75 kg,Left,2
Germany,Maximilian Arnold,VfL Wolfsburg,5/27/1994,22,CAM,CAM,CM/CDM,79,184 cm,74 kg,Left,3
Germany,Maximilian Dittgen,Kaiserslautern,3/3/1995,22,Sub,Sub,LM,65,182 cm,80 kg,Left,3
Germany,Maximilian Eggestein,Werder Bremen,12/8/1996,20,Sub,Sub,CM/CDM,64,181 cm,75 kg,Right,3
Germany,Maximilian Jansen,SV Sandhausen,5/26/1993,23,Res,Res,CM/CDM,61,179 cm,74 kg,Right,3
Germany,Maximilian Mittelstädt,Hertha BSC,3/18/1997,20,Sub,Sub,LB/LM,65,178 cm,69 kg,Left,4
Germany,Maximilian Philipp,SC Freiburg,3/1/1994,23,RM,RM,CF/LM,76,183 cm,76 kg,Right,3
Germany,Maximilian Sauer,Braunschweig,5/15/1994,22,RB,RB,RWB/RB,66,177 cm,70 kg,Right,3
Germany,Maximilian Thiel,Union Berlin,2/3/1993,24,Sub,Sub,LM,67,187 cm,78 kg,Left,3
Germany,Maximilian Wittek,1860 München,8/21/1995,21,RM,RM,LB/LM,67,172 cm,70 kg,Left,2
Germany,Mesut Özil,Arsenal,10/15/1988,28,CAM,CAM,CAM/LW,89,180 cm,76 kg,Left,2
Germany,Michael Duckworth,Morecambe,4/28/1992,24,Sub,Sub,RB/LWB,60,178 cm,75 kg,Right,3
Germany,Michael Esser,SV Darmstadt,11/22/1987,29,Res,Res,GK,72,198 cm,99 kg,Right,4
Germany,Michael Görlitz,Arminia Bielefeld,3/8/1987,30,RB,RB,RB/LM,62,171 cm,73 kg,Right,4
Germany,Michael Hefele,Huddersfield,9/1/1990,26,RCB,RCB,CB,69,192 cm,91 kg,Right,3
Germany,Michael Heinloth,N.E.C.,2/9/1992,25,RWB,RWB,RB,66,177 cm,75 kg,Right,4
Germany,Michael Hiegl,SV Sandhausen,4/8/1993,23,Sub,Sub,GK,54,190 cm,85 kg,Right,2
Germany,Michael Parensen,Union Berlin,6/24/1986,30,LB,LB,LB/CDM,67,180 cm,79 kg,Left,3
Germany,Michael Rensing,F. Düsseldorf,5/14/1984,32,GK,GK,GK,75,190 cm,93 kg,Right,3
Germany,Michael Schindele,Kaiserslautern,1/27/1994,23,Sub,Sub,CB,61,188 cm,86 kg,Left,3
Germany,Michael Zant,FC Ingolstadt,7/15/1995,21,Res,Res,CB,59,195 cm,91 kg,Right,2
Germany,Michael Zetterer,Werder Bremen,7/12/1995,21,Res,Res,GK,65,187 cm,79 kg,Right,4
Germany,Mike Frantz,SC Freiburg,10/14/1986,30,RDM,RDM,CM/RM,73,182 cm,80 kg,Left,4
Germany,Mike-Steven Bähre,Hannover 96,8/10/1995,21,Res,Res,LM,60,177 cm,70 kg,Right,3
Germany,Mirko Boland,Braunschweig,4/23/1987,29,LCM,LCM,CM/LM,71,174 cm,70 kg,Left,4
Germany,Mitchell Weiser,Hertha BSC,4/21/1994,22,Sub,Sub,RB/RM,77,176 cm,67 kg,Right,4
Germany,Mohammad Baghdadi,Braunschweig,10/30/1996,20,Res,Res,LB,59,179 cm,74 kg,Left,3
Germany,Moritz Hartmann,FC Ingolstadt,6/20/1986,30,Sub,Sub,RW/LW,71,183 cm,77 kg,Right,4
Germany,Moritz Kuhn,SV Sandhausen,8/1/1991,25,Sub,Sub,RM/CAM,64,178 cm,71 kg,Right,2
Germany,Moritz Leitner,FC Augsburg,12/8/1992,24,Sub,Sub,CM/RM,74,176 cm,68 kg,Right,4
Germany,Moritz Nicolas,Bor. M'gladbach,10/21/1997,19,Res,Res,GK,52,195 cm,87 kg,Right,2
Germany,Moritz Stoppelkamp,Karlsruher SC,12/11/1986,30,RM,RM,LM/CM,72,180 cm,75 kg,Right,3
Germany,Muhammed Kayaroglu,Greuther Fürth,3/29/1996,21,Res,Res,CF/CAM,56,173 cm,69 kg,Right,4
Germany,Nadiem Amiri,1899 Hoffenheim,10/27/1996,20,RCM,RCM,CAM/LM,77,180 cm,72 kg,Right,3
Germany,Nick Proschwitz,Sint-Truiden,11/28/1986,30,Sub,Sub,ST,67,192 cm,86 kg,Right,2
Germany,Nicklas Shipnoski,Kaiserslautern,1/1/1998,19,Sub,Sub,RM/ST,54,184 cm,68 kg,Right,3
Germany,Nicky Adler,Erzgebirge Aue,5/23/1985,31,LM,LM,LM/RM,65,181 cm,75 kg,Right,4
Germany,Niclas Füllkrug,Hannover 96,2/9/1993,24,Sub,Sub,ST,72,189 cm,83 kg,Right,4
Germany,Nico Empen,FC St. Pauli,1/11/1996,21,Sub,Sub,ST,56,180 cm,79 kg,Right,4
Germany,Nico Karger,1860 München,2/1/1993,24,Res,Res,LM/ST,60,183 cm,79 kg,Right,4
Germany,Nico Rieble,VfL Bochum,8/22/1995,21,LB,LB,LB,61,183 cm,80 kg,Left,5
Germany,Nico Rinderknecht,FC Ingolstadt,10/11/1997,19,Sub,Sub,CDM/CB,59,185 cm,75 kg,Right,3
Germany,Nico Schulz,Bor. M'gladbach,4/1/1993,23,Sub,Sub,LM/LB,73,180 cm,78 kg,Left,2
Germany,Nicolai Müller,Hamburger SV,9/25/1987,29,RM,RM,RM/LM,77,173 cm,66 kg,Right,3
Germany,Nicolai Rapp,Greuther Fürth,12/13/1996,20,Sub,Sub,CDM/CB,63,185 cm,79 kg,Right,4
Germany,Nicolas Höfler,SC Freiburg,3/9/1990,27,Sub,Sub,CDM/CB,71,181 cm,78 kg,Right,3
Germany,Niklas Dorsch,FC Bayern,1/15/1998,19,Res,Res,CDM/CM,59,175 cm,72 kg,Right,3
Germany,Niklas Hauptmann,Dynamo Dresden,6/27/1996,20,RCM,RCM,CM,65,176 cm,66 kg,Left,4
Germany,Niklas Kreuzer,Dynamo Dresden,2/20/1993,24,RB,RB,RB/RW,67,173 cm,76 kg,Right,3
Germany,Niklas Landgraf,Dynamo Dresden,3/1/1996,21,Res,Res,LB,56,177 cm,68 kg,Left,3
Germany,Niklas Lomb,Bayer 04,7/28/1993,23,Res,Res,GK,66,187 cm,84 kg,Right,3
Germany,Niklas Schmidt,Werder Bremen,3/1/1998,19,Res,Res,CAM,62,184 cm,82 kg,Left,3
Germany,Niklas Stark,Hertha BSC,4/14/1995,21,RDM,RDM,CDM/CB,76,190 cm,81 kg,Right,3
Germany,Niklas Süle,1899 Hoffenheim,9/3/1995,21,Sub,RCB,CB,81,195 cm,95 kg,Right,3
Germany,Niko Bungert,1. FSV Mainz 05,10/24/1986,30,Sub,Sub,CB,75,188 cm,75 kg,Right,2
Germany,Niko Gießelmann,Greuther Fürth,9/26/1991,25,LCB,LCB,LB,69,181 cm,73 kg,Left,3
Germany,Niko Kijewski,Braunschweig,3/28/1996,21,Sub,Sub,CB/LB,61,175 cm,75 kg,Left,3
Germany,Nikolai Rehnen,Arminia Bielefeld,2/4/1997,20,Res,Res,GK,58,189 cm,82 kg,Right,3
Germany,Nils Petersen,SC Freiburg,12/6/1988,28,Sub,Sub,ST,76,188 cm,85 kg,Right,5
Germany,Nils Quaschner,VfL Bochum,4/22/1994,22,LM,LM,LM/ST,66,184 cm,82 kg,Right,3
Germany,Nils Rütten,Bor. M'gladbach,7/20/1995,21,Res,Res,CDM,59,182 cm,75 kg,Right,4
Germany,Nils Seufert,Kaiserslautern,2/3/1997,20,Res,Res,CAM/LM,57,179 cm,68 kg,Right,3
Germany,Nils Teixeira,Dynamo Dresden,7/10/1990,26,Sub,Sub,RB/LB,69,177 cm,72 kg,Right,3
Germany,Nils-Jonathan Körber,Hertha BSC,11/13/1996,20,Res,Res,GK,56,186 cm,84 kg,Right,3
Germany,Noah Awassi,Dynamo Dresden,3/10/1998,19,Res,Res,CB,55,191 cm,80 kg,Right,3
Germany,Noah Joel Sarenren Bazee,Hannover 96,8/21/1996,20,Sub,Sub,RM,69,182 cm,70 kg,Right,3
Germany,Norman Theuerkauf,1. FC Heidenheim,1/24/1987,30,Sub,Sub,CDM/CB,68,183 cm,76 kg,Left,3
Germany,Odisseas Vlachodimos,Panathinaikos,4/26/1994,22,GK,GK,GK,68,191 cm,77 kg,Right,3
Germany,Oliver Baumann,1899 Hoffenheim,6/2/1990,26,GK,GK,GK,80,187 cm,82 kg,Right,3
Germany,Oliver Fink,F. Düsseldorf,6/6/1982,34,LM,LM,CM/CDM,69,187 cm,80 kg,Right,4
Germany,Oliver Kragl,Frosinone,5/12/1990,26,Sub,Sub,LM/CM,67,180 cm,77 kg,Left,3
Germany,Oliver Sorg,Hannover 96,5/29/1990,26,RB,RB,RB/LB,73,175 cm,75 kg,Right,4
