Rating_Group,Rating,Name,Birth_Date,Age,Age_Group,Nationality,Club,Position,Contract_Expiry,Preferred_Position,Height,Weight,Preferred_Foot,Weak_foot
0-69,67,Stuart Taylor,11/28/1980,36,Old,England,Southampton,Goalkeeper,2017.0,GK,196 cm,86 kg,Right,2
0-69,67,Peter Clarke,1/3/1982,35,Old,England,Oldham Athletic,Defender,2017.0,CB,188 cm,83 kg,Right,3
0-69,67,Frode Kippe,1/17/1978,39,Old,Norway,Lillestrøm SK,Defender,2017.0,CB,195 cm,95 kg,Left,3
0-69,67,Trond Olsen,2/5/1984,33,Old,Norway,FK Bodø/Glimt,Attacker,2022.0,LW,173 cm,70 kg,Left,4
0-69,67,Bartholomew Ogbeche,10/1/1984,32,Old,Nigeria,Willem II,Attacker,2018.0,ST,177 cm,78 kg,Right,3
0-69,67,Kevin Begois,5/13/1982,34,Old,Belgium,PEC Zwolle,Goalkeeper,2017.0,GK,185 cm,78 kg,Right,3
0-69,67,Mikael Antonsson,5/31/1981,35,Old,Sweden,FC København,Defender,2018.0,CB,189 cm,80 kg,Right,4
0-69,67,Shola Ameobi,10/12/1981,35,Old,Nigeria,Notts County,Attacker,2017.0,ST,191 cm,95 kg,Right,3
0-69,67,Kennedy Bakırcıoğlu,11/2/1980,36,Old,Sweden,Hammarby IF,Midfielder,2017.0,LM/CAM,181 cm,77 kg,Right,3
0-69,67,Michel Breuer,5/25/1980,36,Old,Netherlands,Sparta R'dam,Defender,2017.0,CB,183 cm,72 kg,Right,2
0-69,66,Bruno Xadas,12/2/1997,19,Youngster,Portugal,SC Braga,Midfielder,2019.0,CM,179 cm,72 kg,Left,3
0-69,66,Victor Massaia,2/9/1992,25,Normal,Brazil,Chaves,Defender,2020.0,CB,190 cm,85 kg,Right,2
0-69,66,Marc Van Heerden,3/16/1988,29,Normal,South Africa,Orlando Pirates,Defender,2020.0,LB/LWB,173 cm,68 kg,Left,3
0-69,66,Vladimir Kovačević,11/11/1992,24,Youngster,Serbia,KV Kortrijk,Defender,2019.0,CB,191 cm,85 kg,Right,3
0-69,66,Mircea Axente,3/14/1987,30,Normal,Romania,Al Faisaly,Attacker,2020.0,ST,186 cm,78 kg,Right,2
0-69,66,Gonzalo Ramos,5/16/1991,25,Normal,Uruguay,Puebla,Midfielder,2020.0,CAM,177 cm,75 kg,Right,3
0-69,66,Grigoris Kastanos,1/30/1998,19,Youngster,Cyprus,Pescara,Midfielder,2017.0,CAM/CM,179 cm,71 kg,Left,3
0-69,66,Yordan Osorio,5/10/1994,22,Youngster,Venezuela,Tondela,Defender,2021.0,CB,189 cm,77 kg,Right,2
0-69,66,Aly Mallé,4/3/1998,18,Youngster,Mali,Granada CF,Midfielder,2021.0,RM/CM,177 cm,66 kg,Left,3
0-69,67,Samuel Kalu,8/26/1997,19,Youngster,Nigeria,KAA Gent,Midfielder,2020.0,RW/LW,176 cm,74 kg,Right,4
0-69,66,Anier Figueroa,7/27/1987,29,Normal,Colombia,Millonarios,Defender,2020.0,CB/RB,184 cm,76 kg,Right,3
0-69,66,Anibal Chalá,5/9/1996,20,Youngster,Ecuador,FC Dallas,Defender,2020.0,LB/LM,178 cm,71 kg,Left,3
0-69,66,Melendo,8/23/1997,19,Youngster,Spain,RCD Espanyol,Midfielder,2022.0,CM/LM,167 cm,63 kg,Left,3
0-69,66,Sam Lammers,4/30/1997,19,Youngster,Netherlands,PSV,Attacker,2021.0,ST,190 cm,83 kg,Right,4
0-69,66,Ronaldo Peña,3/10/1997,20,Youngster,Venezuela,UD Las Palmas,Attacker,2018.0,ST/RM,183 cm,78 kg,Right,3
0-69,66,Nemanja Miletić,1/16/1991,26,Normal,Serbia,KVC Westerlo,Defender,2018.0,CB/RB,187 cm,78 kg,Right,2
0-69,66,Marko Mirić,3/26/1987,30,Normal,Serbia,Sport. Lokeren,Midfielder,2018.0,RM/ST,193 cm,80 kg,Right,3
0-69,66,Darío Aimar,1/25/1995,22,Youngster,Ecuador,Free Agents,Defender,2020.0,CB,180 cm,74 kg,Right,3
0-69,66,Oviemuno Ejaria,11/18/1997,19,Youngster,England,Liverpool,Midfielder,2018.0,CAM/CM,183 cm,75 kg,Right,3
0-69,66,Guillermo Viscarra,2/7/1993,24,Youngster,Bolivia,Free Agents,Goalkeeper,2020.0,GK,190 cm,80 kg,Right,3
0-69,66,Luis Marleiro,2/29/1992,25,Normal,Brazil,Internacional,Attacker,2020.0,ST,178 cm,77 kg,Left,2
0-69,66,Kauã Reisende,2/29/1992,25,Normal,Brazil,São Paulo,Midfielder,2020.0,CAM/RW,182 cm,75 kg,Right,3
0-69,66,Raphael Doninho,2/29/1988,29,Normal,Brazil,Ponte Preta,Midfielder,2020.0,CAM,168 cm,64 kg,Right,3
0-69,66,Ever Rodeiro,2/29/1984,33,Old,Brazil,Sport,Midfielder,2020.0,CAM/CM,172 cm,71 kg,Right,3
0-69,66,Nildo Reisão,2/29/1984,33,Old,Brazil,Internacional,Midfielder,2020.0,CDM,191 cm,90 kg,Right,3
0-69,66,Estevão Baldeiro,2/29/1984,33,Old,Brazil,Grêmio,Defender,2020.0,RB,186 cm,85 kg,Right,3
0-69,66,Miladin Stevanovic,2/11/1996,21,Youngster,Serbia,Kayserispor,Defender,2020.0,RB/CB,179 cm,82 kg,Right,3
0-69,66,Gabriel Gudiño,3/16/1992,25,Normal,Argentina,Rafaela,Midfielder,2020.0,RM,170 cm,68 kg,Right,3
0-69,66,Santi Comesaña,10/5/1996,20,Youngster,Spain,Rayo Vallecano,Midfielder,2020.0,CDM/CM,184 cm,73 kg,Right,3
0-69,66,Misael Domínguez,10/27/1999,17,Youngster,Mexico,Monterrey,Midfielder,2020.0,LM,159 cm,58 kg,Left,3
0-69,66,Sancidino,3/5/1994,23,Youngster,Guinea Bissau,Arouca,Attacker,2019.0,LW,174 cm,66 kg,Right,2
0-69,66,Pablo Sisniega,7/7/1995,21,Youngster,Mexico,Real Sociedad,Goalkeeper,2017.0,GK,193 cm,82 kg,Right,2
0-69,66,Loïc Badiashile,2/5/1998,19,Youngster,France,AS Monaco,Goalkeeper,2021.0,GK,186 cm,80 kg,Right,3
0-69,66,Isaac Sackey,4/4/1994,22,Youngster,Ghana,Aytemiz Alanyaspor,Midfielder,2019.0,CDM/CB,190 cm,88 kg,Right,2
0-69,66,Ernest Seka,6/22/1987,29,Normal,France,RC Strasbourg,Defender,2019.0,CB,185 cm,84 kg,Right,3
0-69,66,Benito,7/11/1995,21,Youngster,Spain,UD Las Palmas,Midfielder,2018.0,LM/CAM,175 cm,70 kg,Left,3
0-69,66,Iván Torres,2/27/1991,26,Normal,Paraguay,Santa Fe,Midfielder,2019.0,LM/LB,178 cm,76 kg,Left,3
0-69,66,Marcelino Moreno,6/25/1994,22,Youngster,Argentina,Lanús,Attacker,2020.0,RW/LW,168 cm,65 kg,Right,3
0-69,66,Pedro Pinto,11/8/1994,22,Youngster,Portugal,V. Setúbal,Defender,2020.0,CB/RB,187 cm,78 kg,Right,3
0-69,66,Ângelo Neto,9/2/1991,25,Normal,Brazil,Moreirense,Midfielder,2019.0,CM,181 cm,68 kg,Right,2
0-69,66,Pité,8/22/1994,22,Youngster,Portugal,Tondela,Defender,2018.0,LB,189 cm,76 kg,Left,2
0-69,66,Ivan Tomečak,12/7/1989,27,Normal,Croatia,Al Nassr,Midfielder,2020.0,RM/LB,173 cm,71 kg,Right,3
0-69,66,Maximiliano Correa,11/22/1989,27,Normal,Argentina,Godoy Cruz,Midfielder,2020.0,CDM,169 cm,72 kg,Right,3
0-69,66,Gabriel Ramírez,6/29/1995,21,Youngster,Argentina,Quilmes,Midfielder,2020.0,CM,177 cm,69 kg,Right,3
0-69,66,Francesco Orlando,10/1/1996,20,Youngster,Italy,Vicenza,Midfielder,2018.0,RW/RM,168 cm,65 kg,Left,3
0-69,66,Mario Parra,7/9/1993,23,Youngster,Chile,Wanderers,Defender,2020.0,CB,184 cm,78 kg,Right,3
0-69,66,Renso Pérez,12/24/1987,29,Normal,Argentina,Sarandí,Midfielder,2017.0,RM,178 cm,77 kg,Right,4
0-69,66,Luis Pérez,2/4/1995,22,Youngster,Spain,Elche CF,Defender,2017.0,RB,178 cm,73 kg,Right,2
0-69,66,Jérémy Grimm,3/27/1987,30,Normal,France,RC Strasbourg,Midfielder,2018.0,CDM,181 cm,69 kg,Right,3
0-69,66,Otar Kakabadze,6/27/1995,21,Youngster,Georgia,Esbjerg fB,Defender,2019.0,RB,185 cm,76 kg,Right,3
0-69,66,Giorgos Manthatis,5/11/1997,19,Youngster,Greece,Olympiakos CFP,Attacker,2018.0,RW/LW,182 cm,75 kg,Right,3
0-69,66,Mickaël Meira,1/25/1994,23,Youngster,Portugal,Boavista,Goalkeeper,2019.0,GK,190 cm,80 kg,Right,2
0-69,66,Adama Diakhaby,7/5/1996,20,Youngster,France,Stade Rennais,Attacker,2021.0,ST,184 cm,65 kg,Left,2
0-69,66,Lucas Höler,7/10/1994,22,Youngster,Germany,SV Sandhausen,Attacker,2018.0,ST,184 cm,80 kg,Right,3
0-69,66,Marko Pajač,5/1/1993,23,Youngster,Croatia,Benevento,Midfielder,2019.0,CAM,185 cm,66 kg,Left,3
0-69,66,Aleksandar Šćekić,12/12/1991,25,Normal,Montenegro,Gençlerbirliği,Midfielder,2019.0,CDM/CB,193 cm,89 kg,Right,3
0-69,66,Abbubaker Mobara,2/18/1994,23,Youngster,South Africa,Orlando Pirates,Defender,2019.0,CB/RB,179 cm,65 kg,Right,4
0-69,66,Mo El Hankouri,7/1/1997,19,Youngster,Morocco,Feyenoord,Attacker,2018.0,LW/CAM,176 cm,70 kg,Right,4
0-69,66,Josip Brekalo,6/23/1998,18,Youngster,Croatia,VfB Stuttgart,Midfielder,2021.0,LM/RM,175 cm,72 kg,Right,3
0-69,66,Dinis Almeida,6/28/1995,21,Youngster,Portugal,Belenenses,Defender,2020.0,CB,184 cm,73 kg,Right,3
0-69,66,Nikola Jambor,9/25/1995,21,Youngster,Croatia,Sport. Lokeren,Midfielder,2019.0,CDM/CM,189 cm,76 kg,Left,4
0-69,66,Guessouma Fofana,12/17/1992,24,Youngster,France,Amiens SC,Midfielder,2017.0,CDM/CM,184 cm,78 kg,Right,3
0-69,66,Vladimir Parnyakov,1/30/1984,33,Old,Russia,FC Orenburg,Midfielder,2020.0,RM/LM,174 cm,67 kg,Right,3
0-69,66,Serge N'Guessan,7/31/1994,22,Youngster,Ivory Coast,AS Nancy,Midfielder,2020.0,CM,165 cm,65 kg,Right,3
0-69,66,Heliardo,12/14/1991,25,Normal,Brazil,Tondela,Attacker,2020.0,ST,190 cm,75 kg,Left,2
0-69,66,Mikkel Rygaard Jensen,12/25/1990,26,Normal,Denmark,Lyngby BK,Midfielder,2020.0,CAM,179 cm,73 kg,Left,3
0-69,66,Emanuel Reynoso,11/16/1995,21,Youngster,Argentina,CA Talleres,Midfielder,2020.0,CAM,177 cm,65 kg,Left,3
0-69,66,Cem Özdemir,7/27/1992,24,Youngster,Turkey,Adanaspor,Midfielder,2019.0,RM,180 cm,76 kg,Right,3
0-69,66,Peter Kurzweg,2/10/1994,23,Youngster,Germany,Würzburger Kickers,Defender,2018.0,LB/LM,180 cm,77 kg,Left,3
0-69,66,Felix Müller,1/27/1993,24,Youngster,Germany,Würzburger Kickers,Midfielder,2018.0,LM/LB,178 cm,71 kg,Left,3
0-69,66,Jannik Müller,1/18/1994,23,Youngster,Germany,Dynamo Dresden,Defender,2018.0,CB,187 cm,79 kg,Right,3
0-69,66,Calogero Rizzuto,1/5/1992,25,Normal,Germany,Erzgebirge Aue,Defender,2019.0,RB,170 cm,73 kg,Right,3
0-69,66,Robert Piris Da Motta,7/26/1994,22,Youngster,Paraguay,San Lorenzo,Midfielder,2021.0,CDM,178 cm,72 kg,Right,2
0-69,66,Lorenço Pirdel,2/29/1988,29,Normal,Brazil,Atl. Paranaense,Attacker,2020.0,ST,188 cm,83 kg,Right,2
0-69,66,Josimar Feijoo,2/29/1992,25,Normal,Brazil,Criciúma,Midfielder,2020.0,CDM,173 cm,71 kg,Right,2
0-69,66,Villiam Moraes,2/29/1988,29,Normal,Brazil,Vasco da Gama,Defender,2020.0,LB,176 cm,70 kg,Left,4
0-69,66,Heitor Silbeira,2/29/1992,25,Normal,Brazil,Vasco da Gama,Defender,2020.0,LB,173 cm,68 kg,Left,3
0-69,66,André de Arao,2/29/1988,29,Normal,Brazil,Avaí,Defender,2020.0,RB,173 cm,69 kg,Right,2
0-69,66,Jallyson Neto,2/29/1992,25,Normal,Brazil,Criciúma,Defender,2020.0,LB,185 cm,80 kg,Left,3
0-69,66,Kouassi Eboue,12/13/1997,19,Youngster,Ivory Coast,Celtic,Midfielder,2021.0,CDM,185 cm,70 kg,Right,3
0-69,66,Robin Bormuth,9/19/1995,21,Youngster,Germany,F. Düsseldorf,Defender,2020.0,CB,190 cm,87 kg,Right,3
0-69,66,Claud Adjapong,5/6/1998,18,Youngster,Italy,Sassuolo,Attacker,2020.0,RW/RM,180 cm,74 kg,Right,3
0-69,66,Jakob Glesnes,3/25/1994,23,Youngster,Norway,Strømsgodset IF,Defender,2020.0,CB,188 cm,84 kg,Right,2
0-69,66,Miguel Barbieri,8/24/1993,23,Youngster,Argentina,Racing Club,Defender,2020.0,CB,181 cm,79 kg,Right,2
0-69,66,Alexis Vega,11/25/1997,19,Youngster,Mexico,Toluca,Attacker,2020.0,ST,172 cm,72 kg,Right,3
0-69,66,Shuhei Akasaki,9/1/1991,25,Normal,Japan,Gamba Osaka,Attacker,2020.0,ST,174 cm,70 kg,Right,3
0-69,66,Shogo Taniguchi,7/15/1991,25,Normal,Japan,Kawasaki Front.,Defender,2020.0,CB,183 cm,72 kg,Right,3
0-69,66,Vukasin Jovanovic,5/17/1996,20,Youngster,Serbia,Giron. Bordeaux,Defender,2020.0,CB,188 cm,80 kg,Left,2
0-69,66,Yuto Misao,4/16/1991,25,Normal,Japan,Kashima Antlers,Defender,2020.0,CB/LB,175 cm,70 kg,Left,3
0-69,66,Kazuma Watanabe,8/10/1986,30,Normal,Japan,Vissel Kobe,Attacker,2020.0,LM/ST,182 cm,77 kg,Right,3
0-69,66,Shunki Takahashi,5/4/1990,26,Normal,Japan,Vissel Kobe,Defender,2020.0,RB/LB,169 cm,68 kg,Right,3
0-69,66,Christoph Monschein,10/22/1992,24,Youngster,Austria,Admira Wacker,Attacker,2017.0,ST,178 cm,74 kg,Right,3
0-69,66,Takumi Miyayoshi,8/7/1992,24,Youngster,Japan,Sanfrecce Hiroshima,Attacker,2020.0,ST/CF,172 cm,66 kg,Right,5
0-69,66,Daigo Nishi,8/28/1987,29,Normal,Japan,Kashima Antlers,Defender,2020.0,RB,176 cm,73 kg,Right,2
0-69,66,Takuya Kida,8/23/1994,22,Youngster,Japan,Yokohama F. Marinos,Midfielder,2020.0,CDM,169 cm,63 kg,Right,3
0-69,66,Djibril Diaw,12/31/1994,22,Youngster,Senegal,Korona Kielce,Defender,2019.0,CB,193 cm,85 kg,Left,3
0-69,66,Fabio,2/28/1989,28,Normal,Brazil,Gamba Osaka,Defender,2020.0,CB/CDM,186 cm,78 kg,Right,3
0-69,66,Jumpei Kusukami,8/27/1987,29,Normal,Japan,WS Wanderers,Midfielder,2018.0,LM/CAM,169 cm,63 kg,Right,4
0-69,66,Dmitriy Korobov,6/1/1994,22,Youngster,Russia,FC Ural,Midfielder,2020.0,RM,174 cm,64 kg,Right,3
0-69,66,Lautaro Geminiani,3/2/1991,26,Normal,Argentina,Patronato,Defender,2017.0,RB,178 cm,74 kg,Right,3
0-69,66,Emiliano Romero,9/30/1992,24,Youngster,Uruguay,Rafaela,Midfielder,2020.0,CM,180 cm,70 kg,Right,3
0-69,66,Mauro Guevgeozián,5/10/1986,30,Normal,Armenia,Temperley,Attacker,2020.0,ST,184 cm,79 kg,Right,3
0-69,66,Franco Colela,1/5/1995,22,Youngster,Argentina,Banfield,Midfielder,2020.0,CDM/LM,176 cm,74 kg,Left,3
0-69,66,Leon Guwara,6/28/1996,20,Youngster,Germany,SV Darmstadt,Defender,2019.0,LB,185 cm,83 kg,Left,3
0-69,66,Yosuke Ideguchi,8/23/1996,20,Youngster,Japan,Gamba Osaka,Midfielder,2020.0,CDM/CM,171 cm,71 kg,Right,3
0-69,66,Shun Nagasawa,8/25/1988,28,Normal,Japan,Gamba Osaka,Attacker,2020.0,ST,192 cm,82 kg,Right,3
0-69,66,Koki Yonekura,5/17/1988,28,Normal,Japan,Gamba Osaka,Defender,2020.0,RB,176 cm,68 kg,Right,3
0-69,66,Fabricio Formiliano,1/14/1993,24,Youngster,Uruguay,Newell's,Defender,2020.0,CB,185 cm,79 kg,Right,3
0-69,66,Hiroki Fujiharu,11/28/1988,28,Normal,Japan,Gamba Osaka,Midfielder,2020.0,LB/LM,175 cm,60 kg,Left,3
0-69,66,Ko Seung Beom,4/24/1994,22,Youngster,Korea Republic,Suwon Bluewings,Midfielder,2018.0,CM,175 cm,72 kg,Right,4
0-69,66,Eduardo,4/27/1993,23,Youngster,Brazil,Kawasaki Front.,Defender,2018.0,CB,186 cm,84 kg,Left,3
0-69,66,Kazuyuki Morisaki,5/9/1981,35,Old,Japan,Sanfrecce Hiroshima,Midfielder,2017.0,CDM/CM,177 cm,75 kg,Right,4
0-69,66,Ramon Lopes,8/7/1989,27,Normal,Brazil,Kashiwa Reysol,Attacker,2020.0,ST/RW,185 cm,79 kg,Left,3
0-69,66,Hiroaki Okuno,8/14/1989,27,Normal,Japan,Vegalta Sendai,Attacker,2020.0,RM/ST,171 cm,67 kg,Right,3
0-69,66,Hirofumi Watanabe,7/7/1987,29,Normal,Japan,Vissel Kobe,Defender,2020.0,CB,186 cm,80 kg,Right,3
0-69,66,Caio Henrique,7/31/1997,19,Youngster,Brazil,Atlético Madrid,Midfielder,2022.0,CAM,177 cm,70 kg,Left,2
0-69,66,Takuya Aoki,9/16/1989,27,Normal,Japan,Urawa Diamonds,Midfielder,2020.0,CDM/RM,179 cm,77 kg,Right,3
0-69,66,Josip Posavec,3/10/1996,21,Youngster,Croatia,Palermo,Goalkeeper,2020.0,GK,190 cm,84 kg,Right,3
0-69,66,Heo Young Joon,1/8/1993,24,Youngster,Korea Republic,Jeonnam Dragons,Attacker,2019.0,ST,184 cm,75 kg,Right,3
0-69,66,Allan,3/3/1997,20,Youngster,Brazil,Hertha BSC,Midfielder,2020.0,CM,172 cm,70 kg,Left,4
0-69,66,Juan David Ríos,10/7/1991,25,Normal,Colombia,Al. Petrolera,Midfielder,2019.0,CDM/RM,173 cm,72 kg,Right,2
0-69,66,Jack Harrison,11/20/1996,20,Youngster,England,NYCFC,Attacker,2020.0,RW/LW,175 cm,70 kg,Left,4
0-69,66,Daniel Sundgren,11/22/1990,26,Normal,Sweden,AIK,Defender,2019.0,RWB,180 cm,70 kg,Right,3
0-69,66,Jonathan Campbell,6/27/1993,23,Youngster,United States,Chicago Fire,Defender,2020.0,CB,188 cm,85 kg,Right,3
0-69,66,Maxence Prévot,4/9/1997,19,Youngster,France,FC Sochaux,Goalkeeper,2019.0,GK,184 cm,70 kg,Right,3
0-69,66,Yilton Díaz,6/12/1992,24,Youngster,Colombia,Águilas Doradas,Midfielder,2020.0,RM/LM,178 cm,70 kg,Right,3
0-69,66,Thibang Phete,4/4/1994,22,Youngster,South Africa,V. Guimarães,Midfielder,2019.0,CM,187 cm,77 kg,Right,3
0-69,66,Rafa Mir,6/18/1998,18,Youngster,Spain,Valencia CF,Attacker,2017.0,ST/RM,189 cm,75 kg,Right,3
0-69,66,Luciano Perdomo,9/10/1996,20,Youngster,Argentina,G. La Plata,Midfielder,2019.0,CDM,170 cm,74 kg,Right,3
0-69,66,Tomás Pochettino,2/1/1996,21,Youngster,Argentina,Fl. Varela,Midfielder,2020.0,CM,178 cm,71 kg,Right,2
0-69,66,João Costa,2/2/1996,21,Youngster,Portugal,FC Porto,Goalkeeper,2018.0,GK,185 cm,78 kg,Right,1
0-69,66,José Gomes,4/8/1999,17,Youngster,Portugal,SL Benfica,Attacker,2018.0,ST,178 cm,68 kg,Right,3
0-69,66,Hildeberto Pereira,3/2/1996,21,Youngster,Portugal,Nott'm Forest,Midfielder,2021.0,RB/RM,175 cm,70 kg,Right,4
0-69,66,Xiscu Martínez,3/6/1995,22,Youngster,Spain,Real Zaragoza,Midfielder,2017.0,LM,170 cm,67 kg,Left,2
0-69,66,Liberto Beltrán,12/26/1996,20,Youngster,Spain,Elche CF,Midfielder,2020.0,LM,180 cm,66 kg,Left,3
0-69,66,Patrick Erras,1/21/1995,22,Youngster,Germany,1. FC Nürnberg,Midfielder,2018.0,CDM,196 cm,85 kg,Right,3
0-69,66,Juan Patiño,5/20/1989,27,Normal,Paraguay,Chiapas,Defender,2020.0,CB,183 cm,86 kg,Right,3
0-69,66,Bruno Pittón,2/1/1993,24,Youngster,Argentina,Unión,Defender,2020.0,LB,174 cm,70 kg,Left,2
0-69,66,Cristian Dell'Orco,2/10/1994,23,Youngster,Italy,Sassuolo,Defender,2020.0,LB,183 cm,75 kg,Left,3
0-69,66,Fafà Picault,2/23/1991,26,Normal,United States,Philadelphia,Midfielder,2020.0,LM/RM,173 cm,64 kg,Right,3
0-69,66,Aleksandar Kovačević,1/9/1992,25,Normal,Serbia,Śląsk Wrocław,Midfielder,2018.0,CDM/CM,173 cm,70 kg,Right,2
0-69,66,Duván Vergara,9/9/1996,20,Youngster,Colombia,Envigado,Midfielder,2020.0,RM,172 cm,72 kg,Right,3
0-69,66,Matej Jelić,11/5/1990,26,Normal,Croatia,SK Rapid Wien,Attacker,2019.0,ST,183 cm,75 kg,Right,4
0-69,66,Denis Will Poha,5/28/1997,19,Youngster,France,Stade Rennais,Midfielder,2019.0,CDM,173 cm,71 kg,Right,3
0-69,66,Joia Nuno Da Costa,2/10/1991,26,Normal,Cape Verde,Valenciennes FC,Attacker,2019.0,ST,182 cm,70 kg,Right,3
0-69,66,Sinan Bakış,4/22/1994,22,Youngster,Turkey,Bursaspor,Attacker,2019.0,ST,188 cm,72 kg,Right,3
0-69,66,Danilo Sacrio,2/29/1992,25,Normal,Brazil,Vasco da Gama,Attacker,2020.0,ST,176 cm,72 kg,Right,3
0-69,66,Lorenzao Masca,2/29/1984,33,Old,Brazil,Sport,Attacker,2020.0,ST,172 cm,67 kg,Right,3
0-69,66,Adryan Limeira,2/29/1992,25,Normal,Brazil,Santos,Attacker,2020.0,ST/CF,172 cm,65 kg,Right,5
0-69,66,Fepe Rochela,2/29/1992,25,Normal,Brazil,Palmeiras,Attacker,2020.0,ST,189 cm,86 kg,Right,3
0-69,66,Wilsson Rosito,2/29/1984,33,Old,Brazil,Vitória,Midfielder,2020.0,CAM/LM,180 cm,73 kg,Left,5
0-69,66,Dagoberto Esteiro,2/29/1988,29,Normal,Brazil,A. Minas G.,Midfielder,2017.0,CDM/RM,178 cm,77 kg,Right,3
0-69,66,Guilson Paiva,2/29/1984,33,Old,Brazil,Vitória,Defender,2017.0,CB,187 cm,88 kg,Right,3
0-69,66,Albertinho Dutra,2/29/1984,33,Old,Brazil,Criciúma,Defender,2017.0,CB/CDM,191 cm,83 kg,Right,3
0-69,66,Deiverson Kaio,2/29/1988,29,Normal,Brazil,Vitória,Defender,2020.0,RB,178 cm,74 kg,Right,3
0-69,66,Durval Dutría,2/29/1992,25,Normal,Brazil,Santos,Defender,2017.0,RB,182 cm,78 kg,Right,3
0-69,66,Germano Monico,2/29/1992,25,Normal,Brazil,Grêmio,Defender,2020.0,RB,185 cm,73 kg,Right,3
0-69,66,Germán da Silvieira,2/29/1988,29,Normal,Brazil,A. Minas G.,Attacker,2017.0,ST/CAM,180 cm,78 kg,Right,3
0-69,66,Estevãtinho,2/29/1992,25,Normal,Brazil,Botafogo,Midfielder,2020.0,CAM,178 cm,74 kg,Right,3
0-69,66,Dilson Calegari,2/29/1984,33,Old,Brazil,Atlético Mineiro,Midfielder,2020.0,CAM/LM,179 cm,75 kg,Left,3
0-69,66,Ramón da Almeyda,2/29/1988,29,Normal,Brazil,Botafogo,Midfielder,2020.0,CDM/CM,177 cm,77 kg,Right,3
0-69,66,Chris Farminhão,2/29/1984,33,Old,Brazil,Figueirense,Defender,2020.0,CB/RB,187 cm,77 kg,Right,3
0-69,66,Edenildo Lagoas,2/29/1988,29,Normal,Brazil,Chapecoense,Defender,2017.0,RB/CB,180 cm,75 kg,Right,3
0-69,66,Botelhinonsa,2/29/1988,29,Normal,Brazil,A. Minas G.,Defender,2020.0,RB,183 cm,76 kg,Right,3
0-69,66,Narcisso Mau,2/29/1988,29,Normal,Brazil,Chapecoense,Defender,2017.0,LB/RB,177 cm,72 kg,Right,4
0-69,66,Jailson Acuna,2/29/1988,29,Normal,Brazil,Cruzeiro,Goalkeeper,2020.0,GK,187 cm,85 kg,Right,2
0-69,66,Sacramentinho,2/29/1992,25,Normal,Brazil,Cruzeiro,Goalkeeper,2020.0,GK,188 cm,80 kg,Right,1
0-69,66,Mohamed Maouche,1/10/1993,24,Youngster,France,Tours FC,Midfielder,2017.0,CM/CDM,180 cm,70 kg,Right,3
0-69,66,Anthony Maisonnial,3/23/1998,19,Youngster,France,AS Saint-Étienne,Goalkeeper,2018.0,GK,188 cm,74 kg,Right,3
0-69,66,Tom Davies,6/30/1998,18,Youngster,England,Everton,Midfielder,2021.0,CM/CAM,180 cm,78 kg,Right,3
0-69,66,Halil Ibrahim Sönmez,10/1/1990,26,Normal,Turkey,Konyaspor,Attacker,2017.0,ST/CF,180 cm,75 kg,Right,2
0-69,64,Ludovic Soares,5/8/1994,22,Youngster,France,Red Star FC,Defender,2018.0,LB,175 cm,68 kg,Left,3
0-69,66,Gerson,5/20/1997,19,Youngster,Brazil,Roma,Midfielder,2021.0,CM/CAM,175 cm,66 kg,Left,2
0-69,66,Joshua Emmanuel,8/18/1997,19,Youngster,England,Ipswich,Defender,2019.0,RB/LB,180 cm,70 kg,Right,3
0-69,66,Kevin Medel,5/24/1996,20,Youngster,Chile,CD Everton,Midfielder,2023.0,CDM,168 cm,74 kg,Right,2
0-69,66,Jean-Kévin Duverne,7/12/1997,19,Youngster,France,RC Lens,Defender,2019.0,CB,184 cm,71 kg,Right,3
0-69,66,Nicolás Benedetti,4/25/1997,19,Youngster,Colombia,Deportivo Cali,Midfielder,2023.0,CAM/RW,177 cm,70 kg,Right,3
0-69,66,Martin Polaček,4/2/1990,26,Normal,Slovakia,Zagłębie Lubin,Goalkeeper,2018.0,GK,199 cm,100 kg,Right,2
0-69,66,Cristian Dajome,3/3/1994,23,Youngster,Colombia,Atl. Nacional,Attacker,2023.0,RW/LM,172 cm,69 kg,Right,2
0-69,66,Cristian Gutiérrez,2/18/1997,20,Youngster,Chile,Unión Española,Defender,2019.0,LB,181 cm,70 kg,Left,2
0-69,66,Răzvan Iulian Ochiroşii,3/13/1990,27,Normal,Romania,AD Alcorcón,Midfielder,2017.0,LM/LB,176 cm,73 kg,Left,2
0-69,66,Ezequiel Montagna,6/8/1994,22,Youngster,Argentina,San Juan,Midfielder,2017.0,LM,180 cm,70 kg,Right,3
0-69,66,Tomás Cardona,10/10/1995,21,Youngster,Argentina,Fl. Varela,Defender,2018.0,CB,188 cm,80 kg,Left,3
0-69,66,Alan Moreno,10/30/1995,21,Youngster,Chile,Depor. Iquique,Defender,2023.0,RB,175 cm,65 kg,Right,3
0-69,66,Alvaro Cesped,10/10/1991,25,Normal,Chile,San Luis,Midfielder,2017.0,CDM/CM,175 cm,68 kg,Right,3
0-69,66,Daniel Vicencio,8/4/1992,24,Youngster,Chile,San Luis,Defender,2017.0,CB,178 cm,80 kg,Right,3
0-69,66,Guillermo Pacheco,4/10/1989,27,Normal,Chile,Uni. Concepción,Defender,2017.0,RB,181 cm,76 kg,Right,2
